tributary,site_no,date,water_year,log_daily_q,mean_prior_weekly_q,mean_prior_monthly_q,delta_daily_q,delta_daily_q_cat,lag_daily_q,season
Ausable River,04275500,2024-06-21,2024,-1.923952503292959,-2.005101988799276,-1.893551522957663,0.12553488561323722,1,-2.049487388906196,Summer
Ausable River,04275500,2024-06-22,2024,-1.9366467739211646,-2.0056105331944507,-1.8981127882879298,-0.012694270628205606,0,-1.923952503292959,Summer
Ausable River,04275500,2024-06-23,2024,-1.643977785873318,-2.0067824014429854,-1.9005358616313794,0.2926689880478466,1,-1.9366467739211646,Summer
Ausable River,04275500,2024-06-24,2024,-1.348137682824823,-1.9575828351978941,-1.8915855135960946,0.29584010304849495,1,-1.643977785873318,Summer
Ausable River,04275500,2024-06-25,2024,-1.387872301407669,-1.8615111939972195,-1.8712130777383518,-0.03973461858284599,0,-1.348137682824823,Summer
Ausable River,04275500,2024-06-26,2024,-1.6105887725552523,-1.7664812983912301,-1.85136805725319,-0.2227164711475833,-1,-1.387872301407669,Summer
Ausable River,04275500,2024-06-27,2024,-1.7343709319636103,-1.700094744111626,-1.83860140195722,-0.1237821594083579,-1,-1.6105887725552523,Summer
Ausable River,04275500,2024-06-28,2024,-1.8368023275740588,-1.6550781074055423,-1.8470719328873322,-0.10243139561044856,-1,-1.7343709319636103,Summer
Ausable River,04275500,2024-06-29,2024,-1.8863129029544634,-1.6426280823028423,-1.8548990571133563,-0.0495105753804046,-1,-1.8368023275740588,Summer
Ausable River,04275500,2024-06-30,2024,-1.3725426694264569,-1.6354375293075993,-1.859905922049979,0.5137702335280065,1,-1.8863129029544634,Summer
Ausable River,04275500,2024-07-01,2024,-1.5102182274376894,-1.5966610841009048,-1.843577319512559,-0.13767555801123255,-1,-1.3725426694264569,Summer
Ausable River,04275500,2024-07-02,2024,-1.6720690473787605,-1.6198154476170286,-1.8295458978957109,-0.1618508199410711,-1,-1.5102182274376894,Summer
Ausable River,04275500,2024-07-03,2024,-1.8360718068267028,-1.660414982755756,-1.8195448822883158,-0.1640027594479423,-1,-1.6720690473787605,Summer
Ausable River,04275500,2024-07-04,2024,-1.923059811340618,-1.6926268447945345,-1.8136873336561345,-0.0869880045139153,-1,-1.8360718068267028,Summer
Ausable River,04275500,2024-07-05,2024,-1.9832229159625197,-1.71958239899125,-1.8094730810706154,-0.06016310462190155,-1,-1.923059811340618,Summer
Ausable River,04275500,2024-07-06,2024,-1.9302532591406891,-1.7404996259038872,-1.8068609945850505,0.052969656821830524,1,-1.9832229159625197,Summer
Ausable River,04275500,2024-07-07,2024,-1.8790000073685138,-1.7467768196447766,-1.804784747361635,0.05125325177217532,1,-1.9302532591406891,Summer
Ausable River,04275500,2024-07-08,2024,-1.9701073355848306,-1.8191278679222134,-1.8140184609141408,-0.09110732821631684,-1,-1.8790000073685138,Summer
Ausable River,04275500,2024-07-09,2024,-2.029663796879633,-1.8848263119432336,-1.8240196291795456,-0.05955646129480252,-1,-1.9701073355848306,Summer
Ausable River,04275500,2024-07-10,2024,-1.9348104308811673,-1.9359112761576438,-1.832320353188413,0.09485336599846583,1,-2.029663796879633,Summer
Ausable River,04275500,2024-07-11,2024,-0.7562827307541719,-1.9500167938797102,-1.8362773433545825,1.1785277001269954,1,-1.9348104308811673,Summer
Ausable River,04275500,2024-07-12,2024,-1.1618824526501725,-1.7833343537959323,-1.7991195534428828,-0.4055997218960007,-1,-0.7562827307541719,Summer
Ausable River,04275500,2024-07-13,2024,-1.4037628965234028,-1.6660000018941683,-1.7746123608825115,-0.24188044387323027,-1,-1.1618824526501725,Summer
Ausable River,04275500,2024-07-14,2024,-1.5893994734853143,-1.5907870929488417,-1.7569107764039193,-0.1856365769619115,-1,-1.4037628965234028,Summer
Ausable River,04275500,2024-07-15,2024,-1.7448927126391818,-1.5494155881083846,-1.7458776691025386,-0.15549323915386748,-1,-1.5893994734853143,Summer
Ausable River,04275500,2024-07-16,2024,-1.6180352547231167,-1.5172420705447205,-1.739759302984464,0.12685745791606506,1,-1.7448927126391818,Summer
Ausable River,04275500,2024-07-17,2024,-1.1481907746562963,-1.4584379930937896,-1.7274146531556025,0.46984448006682045,1,-1.6180352547231167,Summer
Ausable River,04275500,2024-07-18,2024,-1.4230680517187893,-1.3460637564902367,-1.6983330399364942,-0.274877277062493,-1,-1.1481907746562963,Summer
Ausable River,04275500,2024-07-19,2024,-1.6397771616827346,-1.441318802342325,-1.6773325893054674,-0.21670910996394532,-1,-1.4230680517187893,Summer
Ausable River,04275500,2024-07-20,2024,-1.7832194995014272,-1.5095894750612622,-1.6628153396111425,-0.14344233781869264,-1,-1.6397771616827346,Summer
Ausable River,04275500,2024-07-21,2024,-1.8670790078268227,-1.56379756120098,-1.6539397432976501,-0.08385950832539546,-1,-1.7832194995014272,Summer
Ausable River,04275500,2024-07-22,2024,-1.919507280432284,-1.6034660661069098,-1.6520439601154457,-0.052428272605461235,-1,-1.8670790078268227,Summer
Ausable River,04275500,2024-07-23,2024,-1.915107096065055,-1.6284110043630673,-1.6514726436658163,0.004400184367228999,0,-1.919507280432284,Summer
Ausable River,04275500,2024-07-24,2024,-1.918623669787892,-1.6708498388404869,-1.6605102873388742,-0.003516573722837091,0,-1.915107096065055,Summer
Ausable River,04275500,2024-07-25,2024,-1.7832194995014272,-1.7809116810021435,-1.6795264869043098,0.1354041702864648,1,-1.918623669787892,Summer
Ausable River,04275500,2024-07-26,2024,-1.8078150472632768,-1.8323618878282346,-1.6927047268407684,-0.02459554776184958,0,-1.7832194995014272,Summer
Ausable River,04275500,2024-07-27,2024,-1.9021678724205398,-1.8563673000540264,-1.6992789359977025,-0.09435282515726295,-1,-1.8078150472632768,Summer
Ausable River,04275500,2024-07-28,2024,-1.978131480370528,-1.8733599247567567,-1.704872167346267,-0.07596360794998835,-1,-1.9021678724205398,Summer
Ausable River,04275500,2024-07-29,2024,-2.033096972718027,-1.8892245636915719,-1.7095831391061493,-0.05496549234749892,-1,-1.978131480370528,Summer
Ausable River,04275500,2024-07-30,2024,-2.0459227083031633,-1.905451662589535,-1.7144759414316013,-0.012825735585136222,0,-2.033096972718027,Summer
Ausable River,04275500,2024-07-31,2024,-1.9535329196981486,-1.9241396071949792,-1.7369219427274916,0.09238978860501468,1,-2.0459227083031633,Summer
Bouquet River,04276500,2024-05-01,2024,-1.650678600272899,-1.6928801850669684,-1.507393979269028,-0.04693603804621804,-1,-1.603742562226681,Spring
Bouquet River,04276500,2024-05-02,2024,-1.6799679763748865,-1.6866175376232815,-1.5055207346314636,-0.029289376101987452,0,-1.650678600272899,Spring
Bouquet River,04276500,2024-05-03,2024,-1.71867567936801,-1.683409877394896,-1.5038261674284652,-0.03870770299312354,0,-1.6799679763748865,Spring
